protein1 protein2 combined_score
node_name_33 node_name_286 4.718498871295094
node_name_33 node_name_588 4.727387818712341
node_name_33 node_name_698 4.736198448394496
node_name_33 node_name_911 4.74493212836325
node_name_33 node_name_1051 4.7535901911063645
node_name_33 node_name_2040 4.762173934797756
node_name_33 node_name_2119 4.770684624465665
node_name_33 node_name_2120 4.77912349311153
node_name_33 node_name_2121 4.787491742782046
node_name_34 node_name_1358 4.795790545596741
node_name_35 node_name_895 4.804021044733257
node_name_35 node_name_1296 4.812184355372417
node_name_35 node_name_1913 4.820281565605037
node_name_36 node_name_1146 4.8283137373023015
node_name_36 node_name_1505 4.836281906951478
node_name_36 node_name_1552 4.844187086458591
node_name_36 node_name_1640 4.852030263919617
node_name_36 node_name_1781 4.859812404361672
node_name_36 node_name_2094 4.867534450455582
node_name_36 node_name_2106 4.875197323201151
node_name_36 node_name_2107 4.882801922586371
node_name_37 node_name_60 4.890349128221754
node_name_37 node_name_1190 4.897839799950911
node_name_37 node_name_2427 4.90527477843843
node_name_38 node_name_429 4.912654885736052
node_name_38 node_name_862 4.919980925828125
node_name_38 node_name_863 4.927253685157205
node_name_38 node_name_1160 4.9344739331306915
node_name_39 node_name_22 4.941642422609304
node_name_39 node_name_1349 4.948759890378168
node_name_39 node_name_1522 4.955827057601261
node_name_39 node_name_1532 4.962844630259907
node_name_39 node_name_1634 4.969813299576001
node_name_39 node_name_1965 4.976733742420574
node_name_39 node_name_2357 4.983606621708336
node_name_40 node_name_507 4.990432586778736
node_name_40 node_name_866 4.997212273764115
node_name_40 node_name_1364 5.003946305945459
node_name_41 node_name_175 5.0106352940962555
node_name_41 node_name_596 5.017279836814924
node_name_41 node_name_644 5.0238805208462765
node_name_41 node_name_1914 5.030437921392435
node_name_42 node_name_87 5.0369526024136295
node_name_42 node_name_1372 5.043425116919247
node_name_43 node_name_152 5.049856007249537
node_name_43 node_name_963 5.056245805348308
node_name_43 node_name_1530 5.062595033026967
node_name_43 node_name_1653 5.0689042022202315
node_name_43 node_name_2399 5.075173815233827
node_name_43 node_name_2400 5.081404364984463
node_name_44 node_name_1582 5.087596335232384
node_name_44 node_name_2624 5.093750200806762
node_name_44 node_name_2701 5.099866427824199
node_name_45 node_name_733 5.10594547390058
node_name_45 node_name_1219 5.111987788356544
node_name_45 node_name_1986 5.117993812416755
node_name_45 node_name_2303 5.123963979403259
node_name_45 node_name_2667 5.1298987149230735
node_name_45 node_name_2668 5.135798437050262
node_name_46 node_name_1604 5.14166355650266
node_name_46 node_name_2366 5.147494476813453
node_name_47 node_name_163 5.153291594497779
node_name_47 node_name_1579 5.159055299214529
node_name_48 node_name_598 5.1647859739235145
node_name_48 node_name_714 5.170483995038151
node_name_48 node_name_1031 5.176149732573829
node_name_48 node_name_1662 5.181783550292085
node_name_48 node_name_1666 5.187385805840755
node_name_48 node_name_2041 5.19295685089021
node_name_48 node_name_2205 5.198497031265826
node_name_48 node_name_2206 5.204006687076795
node_name_48 node_name_2471 5.209486152841421
node_name_49 node_name_1666 5.214935757608986
node_name_49 node_name_2034 5.220355825078324
node_name_50 node_name_1441 5.225746673713202
node_name_51 node_name_457 5.231108616854587
node_name_51 node_name_710 5.236441962829949
node_name_51 node_name_1392 5.241747015059643
node_name_51 node_name_2213 5.247024072160486
node_name_51 node_name_2214 5.25227342804663
node_name_51 node_name_2215 5.2574953720277815
node_name_52 node_name_1139 5.262690188904886
node_name_52 node_name_1467 5.267858159063328
node_name_52 node_name_2053 5.272999558563747
node_name_52 node_name_2172 5.278114659230517
node_name_52 node_name_2182 5.2832037287379885
node_name_53 node_name_1103 5.288267030694535
node_name_53 node_name_1358 5.293304824724492
node_name_53 node_name_1739 5.298317366548036
node_name_54 node_name_401 5.303304908059076
node_name_54 node_name_767 5.308267697401205
node_name_55 node_name_60 5.313205979041787
node_name_55 node_name_210 5.318119993844216
node_name_55 node_name_323 5.3230099791384085
node_name_55 node_name_651 5.327876168789581
node_name_55 node_name_771 5.332718793265369
node_name_55 node_name_787 5.337538079701318
node_name_55 node_name_815 5.342334251964811
node_name_55 node_name_1079 5.3471075307174685
node_name_55 node_name_1156 5.351858133476067
node_name_55 node_name_1983 5.356586274672012
node_name_55 node_name_2020 5.3612921657094255
node_name_55 node_name_2021 5.365976015021851
node_name_56 node_name_412 5.3706380281276624
node_name_56 node_name_447 5.375278407684165
node_name_56 node_name_1616 5.37989735354046
node_name_56 node_name_1849 5.384495062789089
node_name_57 node_name_2418 5.389071729816501
node_name_58 node_name_1715 5.393627546352362
node_name_59 node_name_105 5.3981627015177525
node_name_59 node_name_580 5.402677381872279
node_name_59 node_name_609 5.407171771460119
node_name_59 node_name_615 5.4116460518550396
node_name_59 node_name_1067 5.41610040220442
node_name_59 node_name_1287 5.420534999272286
node_name_59 node_name_1358 5.424950017481403
node_name_59 node_name_1627 5.429345628954441
node_name_59 node_name_1725 5.43372200355424
node_name_59 node_name_2651 5.438079308923196
node_name_60 node_name_37 5.442417710521793
node_name_60 node_name_55 5.44673737166631
node_name_60 node_name_1527 5.4510384535657
node_name_61 node_name_1080 5.455321115357702
node_name_61 node_name_1309 5.459585514144159
node_name_61 node_name_1416 5.4638318050256105
node_name_61 node_name_2162 5.4680601411351315
node_name_61 node_name_2312 5.472270673671475
node_name_62 node_name_485 5.476463551931511
node_name_63 node_name_1322 5.480638923341991
node_name_64 node_name_1209 5.484796933490655
node_name_64 node_name_1737 5.488937726156687
node_name_64 node_name_2616 5.493061443340548
node_name_65 node_name_239 5.497168225293202
node_name_65 node_name_543 5.501258210544727
node_name_65 node_name_619 5.5053315359323625
node_name_65 node_name_771 5.5093883366279774
node_name_65 node_name_1156 5.5134287461649825
node_name_65 node_name_1293 5.517452896464707
node_name_65 node_name_1628 5.521460917862246
node_name_65 node_name_2021 5.5254529391317835
node_name_65 node_name_2418 5.529429087511423
node_name_65 node_name_2419 5.53338948872752
node_name_66 node_name_2631 5.537334267018537
node_name_67 node_name_282 5.541263545158426
node_name_67 node_name_540 5.545177444479562
node_name_67 node_name_2628 5.54907608489522
node_name_68 node_name_391 5.552959584921617
node_name_68 node_name_1358 5.556828061699537
node_name_68 node_name_1986 5.560681631015528
node_name_69 node_name_604 5.564520407322694
node_name_69 node_name_1013 5.568344503761097
node_name_69 node_name_1351 5.572154032177765
node_name_69 node_name_1914 5.575949103146316
node_name_69 node_name_1920 5.579729825986222
node_name_69 node_name_1926 5.583496308781699
node_name_69 node_name_2189 5.58724865840025
node_name_70 node_name_441 5.5909869805108565
node_name_70 node_name_2184 5.594711379601839
node_name_71 node_name_206 5.598421958998375
node_name_71 node_name_1986 5.602118820879701
node_name_71 node_name_2691 5.605802066295998
node_name_72 node_name_1103 5.60947179518496
node_name_72 node_name_1358 5.6131281063880705
node_name_73 node_name_449 5.616771097666572
node_name_73 node_name_558 5.62040086571715
node_name_73 node_name_797 5.6240175061873385
node_name_73 node_name_876 5.627621113690637
node_name_73 node_name_1035 5.631211781821365
node_name_73 node_name_1136 5.634789603169249
node_name_73 node_name_1189 5.638354669333745
node_name_73 node_name_1214 5.641907070938114
node_name_73 node_name_1358 5.645446897643238
node_name_73 node_name_1723 5.648974238161206
node_name_73 node_name_1745 5.652489180268651
node_name_73 node_name_1751 5.655991810819852
node_name_74 node_name_544 5.659482215759621
node_name_74 node_name_586 5.662960480135946
node_name_74 node_name_1042 5.666426688112432
node_name_74 node_name_1118 5.66988092298052
node_name_74 node_name_1416 5.673323267171493
node_name_74 node_name_1517 5.676753802268282
node_name_74 node_name_2052 5.680172609017068
node_name_74 node_name_2155 5.683579767338681
node_name_74 node_name_2419 5.68697535633982
node_name_75 node_name_84 5.69035945432406
node_name_75 node_name_583 5.6937321388027
node_name_75 node_name_2222 5.697093486505405
node_name_75 node_name_2223 5.700443573390687
node_name_75 node_name_2224 5.703782474656201
node_name_75 node_name_2225 5.707110264748875
node_name_76 node_name_88 5.71042701737487
node_name_76 node_name_2018 5.713732805509369
node_name_76 node_name_2178 5.717027701406222
node_name_77 node_name_659 5.720311776607412
node_name_77 node_name_1803 5.723585101952381
node_name_78 node_name_1219 5.726847747587197
node_name_78 node_name_1329 5.730099782973574
node_name_78 node_name_1418 5.733341276897746
node_name_79 node_name_603 5.736572297479192
node_name_79 node_name_2097 5.739792912179234
node_name_80 node_name_257 5.7430031878094825
node_name_80 node_name_1117 5.746203190540153
node_name_80 node_name_2049 5.749392985908253
node_name_81 node_name_347 5.752572638825633
node_name_81 node_name_423 5.755742213586912
node_name_81 node_name_527 5.75890177387728
node_name_81 node_name_2180 5.762051382780177
node_name_82 node_name_1138 5.765191102784844
node_name_82 node_name_1634 5.768320995793772
node_name_83 node_name_1520 5.771441123130016
node_name_83 node_name_2581 5.7745515455444085
node_name_84 node_name_75 5.777652323222656
node_name_84 node_name_284 5.780743515792329
node_name_84 node_name_2223 5.783825182329737
node_name_84 node_name_2224 5.786897381366708
node_name_84 node_name_2226 5.7899601708972535
node_name_85 node_name_1065 5.793013608384144
node_name_85 node_name_2487 5.796057750765372
node_name_85 node_name_2488 5.799092654460526
node_name_86 node_name_429 5.802118375377063
node_name_86 node_name_1336 5.805134968916488
node_name_86 node_name_2034 5.808142489980444
node_name_86 node_name_2295 5.811140992976701
node_name_87 node_name_42 5.814130531825066
node_name_87 node_name_842 5.817111159963204
node_name_87 node_name_2164 5.820082930352362
node_name_88 node_name_76 5.823045895483019
node_name_88 node_name_130 5.82600010738045
node_name_88 node_name_162 5.8289456176102075
node_name_88 node_name_300 5.831882477283517
node_name_88 node_name_415 5.834810737062605
node_name_88 node_name_498 5.8377304471659395
node_name_88 node_name_696 5.840641657373398
node_name_88 node_name_737 5.84354441703136
node_name_88 node_name_743 5.846438775057725
node_name_88 node_name_815 5.849324779946859
node_name_88 node_name_841 5.8522024797744745
node_name_88 node_name_851 5.855071922202427
node_name_88 node_name_1174 5.857933154483459
node_name_88 node_name_1288 5.860786223465865
node_name_88 node_name_1309 5.863631175598097
node_name_88 node_name_1394 5.8664680569332965
node_name_88 node_name_1494 5.869296913133774
node_name_88 node_name_1527 5.872117789475416
node_name_88 node_name_1658 5.87493073085203
node_name_88 node_name_1677 5.877735781779639
node_name_88 node_name_1713 5.8805329864007
node_name_88 node_name_1732 5.883322388488279
node_name_88 node_name_1741 5.886104031450156
node_name_88 node_name_1847 5.8888779583328805
node_name_88 node_name_1882 5.8916442118257715
node_name_88 node_name_1908 5.8944028342648505
node_name_88 node_name_2010 5.8971538676367405
node_name_88 node_name_2011 5.8998973535824915
node_name_88 node_name_2012 5.902633333401366
node_name_88 node_name_2013 5.905361848054571
node_name_88 node_name_2014 5.908082938168931
node_name_88 node_name_2015 5.910796644040527
node_name_88 node_name_2016 5.91350300563827
node_name_88 node_name_2017 5.916202062607435
node_name_88 node_name_2178 5.918893854273146
node_name_88 node_name_2394 5.921578419643816
node_name_89 node_name_258 5.924255797414532
node_name_89 node_name_884 5.926926025970411
node_name_89 node_name_1087 5.929589143389895
node_name_89 node_name_1094 5.932245187448011
node_name_89 node_name_1157 5.934894195619588
node_name_89 node_name_1401 5.937536205082426
node_name_89 node_name_1530 5.940171252720432
node_name_89 node_name_1585 5.942799375126701
node_name_89 node_name_1653 5.945420608606575
node_name_89 node_name_2463 5.948034989180646
node_name_90 node_name_155 5.950642552587727
node_name_90 node_name_156 5.953243334287785
node_name_90 node_name_817 5.955837369464831
node_name_90 node_name_1358 5.958424693029782
node_name_91 node_name_330 5.961005339623274
node_name_91 node_name_1046 5.963579343618446
node_name_91 node_name_2001 5.966146739123692
node_name_91 node_name_2122 5.968707559985366
node_name_91 node_name_2123 5.971261839790462
node_name_91 node_name_2380 5.973809611869261
node_name_92 node_name_898 5.976350909297934
node_name_92 node_name_1836 5.978885764901122
node_name_93 node_name_550 5.981414211254481
node_name_93 node_name_950 5.983936280687191
node_name_93 node_name_1495 5.986452005284438
node_name_93 node_name_2151 5.988961416889864
node_name_94 node_name_195 5.991464547107982
node_name_94 node_name_586 5.993961427306569
node_name_94 node_name_675 5.996452088619021
node_name_94 node_name_733 5.998936561946683
node_name_94 node_name_934 6.0014148779611505
node_name_94 node_name_1649 6.003887067106539
node_name_94 node_name_1966 6.0063531596017325
node_name_94 node_name_2263 6.008813185442595
node_name_94 node_name_2355 6.0112671744041615
node_name_94 node_name_2357 6.013715156042802
node_name_94 node_name_2490 6.016157159698354
node_name_95 node_name_334 6.018593214496234
node_name_95 node_name_456 6.021023349349527
node_name_95 node_name_693 6.023447592961033
node_name_95 node_name_734 6.025865973825314
node_name_95 node_name_736 6.028278520230698
node_name_95 node_name_861 6.030685260261263
node_name_95 node_name_1303 6.0330862217988015
node_name_95 node_name_1535 6.035481432524756
node_name_95 node_name_1580 6.037870919922137
node_name_95 node_name_1602 6.040254711277414
node_name_95 node_name_1628 6.042632833682381
node_name_95 node_name_1838 6.045005314036012
node_name_95 node_name_2054 6.0473721790462776
node_name_95 node_name_2074 6.049733455231958
node_name_95 node_name_2181 6.052089168924417
node_name_95 node_name_2182 6.054439346269371
node_name_95 node_name_2183 6.056784013228625
node_name_95 node_name_2197 6.059123195581797
node_name_95 node_name_2199 6.061456918928017
node_name_95 node_name_2200 6.063785208687608
node_name_95 node_name_2201 6.066108090103747
node_name_96 node_name_2217 6.068425588244111
node_name_97 node_name_661 6.07073772800249
node_name_97 node_name_1353 6.073044534100405
node_name_98 node_name_1521 6.075346031088684
node_name_99 node_name_26 6.077642243349034
node_name_99 node_name_122 6.07993319509559
node_name_99 node_name_123 6.082218910376446
node_name_99 node_name_2454 6.0844994130751715
node_name_99 node_name_2455 6.0867747269123065
node_name_99 node_name_2604 6.089044875446846
node_name_100 node_name_1602 6.091309882077698
node_name_100 node_name_2056 6.093569770045136
node_name_101 node_name_281 6.095824562432225
node_name_101 node_name_1358 6.09807428216624
node_name_101 node_name_1589 6.100318952020064
node_name_102 node_name_109 6.102558594613569
node_name_102 node_name_1251 6.104793232414985
node_name_102 node_name_1448 6.1070228877422545
node_name_102 node_name_1561 6.1092475827643655
node_name_102 node_name_1623 6.111467339502679
node_name_102 node_name_1871 6.113682179832232
node_name_102 node_name_1878 6.115892125483034
node_name_102 node_name_2256 6.118097198041348
node_name_103 node_name_139 6.12029741895095
node_name_103 node_name_306 6.1224928095143865
node_name_103 node_name_484 6.124683390894205
node_name_103 node_name_608 6.126869184114185
node_name_103 node_name_1775 6.129050210060545
node_name_103 node_name_1790 6.131226489483141
node_name_104 node_name_401 6.133398042996649
node_name_104 node_name_864 6.135564891081739
node_name_104 node_name_1065 6.137727054086234
node_name_104 node_name_2210 6.139884552226255
node_name_105 node_name_59 6.142037405587356
node_name_105 node_name_1721 6.144185634125646
node_name_105 node_name_2476 6.1463292576688975
node_name_105 node_name_2651 6.148468295917647
node_name_106 node_name_2461 6.150602768446279
node_name_107 node_name_541 6.152732694704104
node_name_107 node_name_971 6.154858094016418
node_name_107 node_name_1113 6.156978985585555
node_name_107 node_name_1650 6.159095388491933
node_name_108 node_name_1647 6.161207321695077
node_name_108 node_name_2157 6.163314804034641
node_name_108 node_name_2209 6.16541785423142
node_name_109 node_name_102 6.1675164908883415
node_name_109 node_name_124 6.169610732491456
node_name_109 node_name_133 6.171700597410915
node_name_109 node_name_153 6.173786103901937
node_name_109 node_name_176 6.175867270105761
node_name_109 node_name_236 6.1779441140506
node_name_109 node_name_289 6.180016653652572
node_name_109 node_name_306 6.182084906716632
node_name_109 node_name_318 6.184148890937483
node_name_109 node_name_426 6.186208623900494
node_name_109 node_name_459 6.18826412308259
node_name_109 node_name_519 6.1903154058531475
node_name_109 node_name_563 6.192362489474872
node_name_109 node_name_610 6.194405391104672
node_name_109 node_name_1045 6.19644412779452
node_name_109 node_name_1337 6.198478716492308
node_name_109 node_name_1346 6.20050917404269
node_name_109 node_name_1624 6.202535517187923
node_name_109 node_name_1661 6.20455776256869
node_name_109 node_name_1769 6.206575926724928
node_name_109 node_name_1772 6.208590026096629
node_name_109 node_name_1779 6.210600077024653
node_name_109 node_name_1785 6.212606095751519
node_name_109 node_name_1787 6.214608098422191
node_name_109 node_name_1789 6.2166061010848646
node_name_109 node_name_1805 6.218600119691729
node_name_109 node_name_1998 6.220590170099739
node_name_109 node_name_2045 6.222576268071369
node_name_109 node_name_2092 6.22455842927536
node_name_109 node_name_2093 6.226536669287466
node_name_109 node_name_2094 6.2285110035911835
node_name_109 node_name_2095 6.230481447578482
node_name_110 node_name_567 6.2324480165505225
node_name_110 node_name_1161 6.234410725718371
node_name_110 node_name_1262 6.236369590203704
node_name_110 node_name_1599 6.238324625039508
node_name_110 node_name_2279 6.240275845170769
node_name_111 node_name_758 6.2422232654551655
node_name_111 node_name_1169 6.244166900663736
node_name_111 node_name_1358 6.246106765481563
node_name_111 node_name_1762 6.248042874508429
node_name_111 node_name_2492 6.249975242259483
node_name_111 node_name_2643 6.251903883165888
node_name_112 node_name_306 6.253828811575473
node_name_112 node_name_487 6.255750041753367
node_name_112 node_name_1623 6.257667587882639
node_name_112 node_name_2080 6.259581464064923
node_name_113 node_name_540 6.261491684321042
node_name_113 node_name_747 6.263398262591624
node_name_113 node_name_1884 6.26530121273771
node_name_114 node_name_610 6.267200548541362
node_name_114 node_name_2288 6.269096283706261
node_name_114 node_name_2506 6.270988431858299
node_name_115 node_name_973 6.272877006546167
node_name_116 node_name_1076 6.274762021241939
node_name_116 node_name_1501 6.2766434893416445
node_name_117 node_name_259 6.278521424165844
node_name_117 node_name_2537 6.280395838960195
node_name_118 node_name_255 6.282266746896006
node_name_118 node_name_388 6.284134161070802
node_name_118 node_name_446 6.285998094508865
node_name_118 node_name_454 6.2878585601617845
node_name_118 node_name_554 6.289715570908998
node_name_118 node_name_581 6.29156913955832
node_name_118 node_name_842 6.293419278846481
node_name_118 node_name_1029 6.295266001439646
node_name_118 node_name_1343 6.297109319933935
node_name_118 node_name_1507 6.298949246855942
node_name_118 node_name_1538 6.300785794663244
node_name_118 node_name_1616 6.302618975744905
node_name_118 node_name_1690 6.304448802421981
node_name_118 node_name_1851 6.306275286948016
node_name_118 node_name_2010 6.3080984415095305
node_name_118 node_name_2030 6.309918278226516
node_name_118 node_name_2112 6.311734809152915
node_name_118 node_name_2165 6.313548046277095
node_name_118 node_name_2166 6.315358001522335
node_name_119 node_name_379 6.317164686747284
node_name_119 node_name_646 6.318968113746434
node_name_119 node_name_1537 6.320768294250582
node_name_119 node_name_1549 6.322565239927284
node_name_119 node_name_1901 6.324358962381311
node_name_119 node_name_1959 6.326149473155099
node_name_120 node_name_483 6.327936783729195
node_name_120 node_name_514 6.329720905522696
node_name_120 node_name_816 6.331501849893691
node_name_120 node_name_1842 6.333279628139691
node_name_120 node_name_2405 6.335054251498059
node_name_121 node_name_589 6.336825731146441
node_name_121 node_name_802 6.338594078203183
node_name_121 node_name_980 6.340359303727752
node_name_121 node_name_1158 6.342121418721152
node_name_121 node_name_1910 6.343880434126331
node_name_121 node_name_2251 6.345636360828596
node_name_121 node_name_2252 6.3473892096560105
node_name_122 node_name_26 6.349138991379798
node_name_122 node_name_99 6.35088571671474
node_name_122 node_name_2454 6.352629396319567
node_name_122 node_name_2455 6.354370040797351
node_name_123 node_name_26 6.3561076606958915
node_name_123 node_name_99 6.3578422665081
node_name_123 node_name_2455 6.359573868672378
node_name_123 node_name_2604 6.361302477572996
node_name_124 node_name_109 6.363028103540465
node_name_124 node_name_306 6.364750756851911
node_name_124 node_name_1367 6.366470447731438
node_name_124 node_name_1622 6.368187186350492
node_name_124 node_name_2478 6.369900982828227
node_name_125 node_name_458 6.371611847231857
node_name_125 node_name_2363 6.373319789577012
node_name_126 node_name_236 6.375024819828097
node_name_126 node_name_306 6.376726947898627
node_name_126 node_name_1551 6.3784261836515865
node_name_126 node_name_1623 6.380122536899765
node_name_126 node_name_2045 6.3818160174060985
node_name_126 node_name_2079 6.3835066348840055
node_name_127 node_name_2604 6.385194398997726
node_name_128 node_name_233 6.386879319362645
node_name_128 node_name_370 6.38856140554563
node_name_128 node_name_392 6.39024066706535
node_name_128 node_name_2270 6.391917113392602
node_name_129 node_name_441 6.393590753950631
node_name_129 node_name_701 6.395261598115449
node_name_130 node_name_88 6.396929655216146
node_name_130 node_name_1982 6.398594934535208
node_name_130 node_name_2017 6.400257445308821
node_name_131 node_name_834 6.401917196727186
node_name_131 node_name_2169 6.403574197934815
node_name_132 node_name_379 6.405228458030842
node_name_132 node_name_479 6.406879986069314
node_name_132 node_name_904 6.408528791059498
node_name_132 node_name_1022 6.410174881966167
node_name_132 node_name_1959 6.411818267709897
node_name_133 node_name_109 6.413458957167357
node_name_133 node_name_399 6.415096959171596
node_name_133 node_name_452 6.416732282512326
node_name_133 node_name_1623 6.418364935936212
node_name_133 node_name_1670 6.419994928147142
node_name_133 node_name_1777 6.421622267806518
node_name_133 node_name_1784 6.423246963533519
node_name_133 node_name_2045 6.424869023905388
node_name_133 node_name_2082 6.42648845745769
node_name_134 node_name_406 6.428105272684596
node_name_135 node_name_137 6.429719478039138
node_name_135 node_name_2095 6.431331081933479
node_name_135 node_name_2144 6.432940092739179
node_name_136 node_name_831 6.434546518787453
node_name_137 node_name_135 6.436150368369428
node_name_137 node_name_2144 6.437751649736401
node_name_137 node_name_2329 6.439350371100098
node_name_137 node_name_2504 6.440946540632921
node_name_138 node_name_236 6.4425401664681985
node_name_138 node_name_306 6.444131256700441
node_name_138 node_name_1776 6.4457198193855785
node_name_139 node_name_18 6.447305862541213
node_name_139 node_name_103 6.448889394146858
node_name_139 node_name_306 6.450470422144176
node_name_139 node_name_660 6.452048954437226
node_name_139 node_name_910 6.453624998892692
node_name_139 node_name_1623 6.455198563340122
node_name_139 node_name_1780 6.456769655572163
node_name_139 node_name_2045 6.45833828334479
node_name_140 node_name_582 6.459904454377535
node_name_140 node_name_623 6.461468176353717
node_name_141 node_name_740 6.46302945692067
node_name_141 node_name_1002 6.464588303689961
node_name_141 node_name_2034 6.466144724237619
node_name_142 node_name_456 6.467698726104354
node_name_142 node_name_525 6.4692503167957724
node_name_142 node_name_1628 6.470799503782602
node_name_142 node_name_2049 6.472346294500901
node_name_142 node_name_2181 6.473890696352274
node_name_143 node_name_316 6.47543271670409
node_name_143 node_name_598 6.476972362889683
node_name_143 node_name_1701 6.478509642208569
node_name_144 node_name_145 6.480044561926653
node_name_144 node_name_213 6.481577129276431
node_name_144 node_name_1593 6.483107351457199
node_name_144 node_name_2192 6.484635235635252
node_name_145 node_name_144 6.486160788944089
node_name_145 node_name_213 6.48768401848461
node_name_145 node_name_537 6.489204931325317
node_name_145 node_name_1165 6.490723534502507
node_name_145 node_name_1593 6.492239835020471
node_name_145 node_name_2622 6.493753839851686
node_name_146 node_name_897 6.495265555937008
node_name_146 node_name_1468 6.4967749901858625
node_name_146 node_name_1907 6.498282149476434
node_name_146 node_name_1927 6.499787040655854
node_name_146 node_name_2059 6.501289670540389
node_name_147 node_name_1519 6.502790045915623
node_name_147 node_name_1976 6.504288173536645
node_name_148 node_name_378 6.505784060128229
node_name_148 node_name_381 6.507277712385012
node_name_148 node_name_602 6.508769136971682
